weekdayMin,weekdayRate,ppCode,parkingSystem,ppName,vehCat,satdayMin,satdayRate,sunPHMin,sunPHRate,geometries/0/coordinates,geometries/1/coordinates,startTime,parkCapacity,endTime,remarks,geometries/2/coordinates,geometries/3/coordinates,geometries/4/coordinates,geometries/5/coordinates
30 mins,$0.60,A0004,C,ALIWAL STREET ,Car,30 mins,$0.60,30 mins,$0.60,"31045.6165,31694.0055","31126.0755,31564.9876",08.30 AM,69,10.00 PM,,,,,
870 mins,$0.65,A0004,C,ALIWAL STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"31045.6165,31694.0055","31126.0755,31564.9876",08.30 AM,4,10.00 PM,,,,,
30 mins,$0.60,A0005,C,ALLENBY ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30873.0177,32533.6617",,08.30 AM,16,10.00 PM,,,,,
30 mins,$1.20,A0006,C,AMOY STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29548.345,29292.548",,08.30 AM,81,05.00 PM,,,,,
30 mins,$0.60,A0006,C,AMOY STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29548.345,29292.548",,05.00 PM,81,10.00 PM,,,,,
30 mins,$2.40,A0006,C,AMOY STREET ,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29548.345,29292.548",,08.30 AM,1,05.00 PM,,,,,
30 mins,$1.20,A0006,C,AMOY STREET ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29548.345,29292.548",,05.00 PM,1,10.00 PM,,,,,
870 mins,$0.65,A0006,C,AMOY STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29548.345,29292.548",,08.30 AM,10,10.00 PM,,,,,
30 mins,$1.30,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$1.30,30 mins,$0.70,"27582.895,31962.0601",,07.00 AM,268,11.00 AM,,,,,
30 mins,$1.50,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$1.50,30 mins,$0.80,"27582.895,31962.0601",,11.00 AM,268,05.00 PM,,,,,
30 mins,$0.80,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$0.80,30 mins,$0.80,"27582.895,31962.0601",,05.00 PM,268,10.30 PM,,,,,
30 mins,$0.70,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$0.70,30 mins,$0.70,"27582.895,31962.0601",,10.30 PM,268,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5.60.,,,,
510 mins,$5.60,A0007,B,ANGULLIA PARK OFF STREET,Car,510 mins,$5.60,510 mins,$5.60,"27582.895,31962.0601",,10.30 PM,268,07.00 AM,,,,,
930 mins,$0.65,A0007,B,ANGULLIA PARK OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"27582.895,31962.0601",,07.00 AM,83,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,A0007,B,ANGULLIA PARK OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"27582.895,31962.0601",,10.30 PM,83,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$1.20,A0008,C,ANN SIANG ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"29394.9904,29258.8791",,08.30 AM,24,05.00 PM,No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am,,,,
30 mins,$0.60,A0008,C,ANN SIANG ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29394.9904,29258.8791",,05.00 PM,24,10.00 PM,No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am,,,,
30 mins,$2.40,A0008,C,ANN SIANG ROAD ,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29394.9904,29258.8791",,08.30 AM,1,05.00 PM,,,,,
30 mins,$1.20,A0008,C,ANN SIANG ROAD ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29394.9904,29258.8791",,05.00 PM,1,10.00 PM,,,,,
30 mins,$0.60,A0010,C,ARAB STREET ,Car,30 mins,$0.60,30 mins,$0.60,"30770.0173,31622.8216",,08.30 AM,88,10.00 PM,,,,,
30 mins,$1.20,A0010,C,ARAB STREET ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"30770.0173,31622.8216",,08.30 AM,1,10.00 PM,,,,,
870 mins,$0.65,A0010,C,ARAB STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"30770.0173,31622.8216",,08.30 AM,13,10.00 PM,,,,,
30 mins,$1.20,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.20,30 mins,$0.60,"29730.2995,30701.2921",,07.00 AM,45,11.00 AM,,,,,
30 mins,$1.40,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.40,30 mins,$0.75,"29730.2995,30701.2921",,11.00 AM,45,02.00 PM,,,,,
30 mins,$1.40,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.40,30 mins,$0.75,"29730.2995,30701.2921",,02.00 PM,45,05.00 PM,,,,,
30 mins,$0.60,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29730.2995,30701.2921",,05.00 PM,45,10.30 PM,,,,,
30 mins,$0.60,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29730.2995,30701.2921",,10.30 PM,45,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,A0011,B,ARMENIAN STREET OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"29730.2995,30701.2921",,10.30 PM,45,07.00 AM,,,,,
930 mins,$0.65,A0011,B,ARMENIAN STREET OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"29730.2995,30701.2921",,07.00 AM,7,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,A0011,B,ARMENIAN STREET OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"29730.2995,30701.2921",,10.30 PM,7,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,A0017,C,ARAB STREET / QUEEN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"30638.3394,31698.2199",,08.30 AM,148,10.00 PM,,,,,
870 mins,$0.65,A0017,C,ARAB STREET / QUEEN STREET OFF STREET,Motorcycle,870 mins,$0.65,870 mins,$0.65,"30638.3394,31698.2199",,08.30 AM,19,10.00 PM,,,,,
