CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
*Scape,$2.05/hr from 7am to 4.59pm,"$5.15 for 1st 3hr, $2.05 for next subsequent hr from 5pm to 6.59am the following day",$2.05/hr from 7am to 7am the following day,"$2.05/hr from 7am to 4.59pm, $5.15 for 1st 3hr, $2.05 for next subsequent hr from 5pm to 6.59am the following day","2 Orchard Link, S(237978)","1.3010543,103.835846"
10 Raeburn Park,"$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 5pm",$2.50/entry from 5pm to 7am the following day,Charges same as weekdays,$2.50/entry from 8am to 8am the following day,"10 Raeburn Park, S(088702)","1.2740256,103.8334078"
10 Winstedt,$1.00/30min from 6am to 6.59pm or part thereof,"$3.00/entry from 7pm to 11.59pm, $5.00/entry from 12midnight to 5.59am the following day","$1.00/30min from 6am to 4.59pm or part thereof, $3.00/entry from 5pm to 11.59pm, $5.00/entry from 12midnight to 5.59am the following day","$3.00/entry from 6am to 11.59pm, $5.00/entry from 12midnight to 5.59am the following day",10 Winstedt Road S(227977),"1.3093609,103.841643"
100 AM Shopping Mall,$2.00/30mim from 8am to 4.59pm,$3.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,$3.00/entry from 8am to 7.59am the following day,"100 Tras Street, S(079027)","1.2749455,103.8434094"
100 Pasir Panjang,"$1.80 for 1st hr, $0.80 for next subsequent 30min or part thereof from 7am to 7pm",$3.50/entry from 7pm to 7am the following day,Charges same as weekdays,$3.50/entry from 7pm to 7am the following day,100 Pasir Panjang Road S(118518),"1.2755048,103.7957745"
1001 Bukit Merah Lane 3,$0.60/30min from 7am to 10.30pm,$0.60/30min or up to a maximum charge of $5.00 from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1001 Bukit Merah Lane 3 S(159718),"1.2844594,103.8063389"
112 Katong,"(6am-9.59am) $0.54 for 1st hr, $0.16 for subsequent 15min, (10am-5.59pm) $1.07 for 1st hr, $0.27 for subsequent 15min","(6pm-8.59pm) $1.28 for 1st 30min, $0.65 for subsequent 15min, (9pm-5.59am) $0.54 for 1st hr, $0.16 for subsequent 15min","(6am-9.59am) $0.54 for 1st hr, $0.16 for subsequent 15min (10am-8.59pm) $1.28 for 1st 30min, $0.65 for subsequent 15min (9pm-5.59am) $0.54 for 1st hr, $0.16 for subsequent 15min","(6am-9.59am) $0.54 for 1st hr, $0.16 for subsequent 15min (10am-8.59pm) $1.28 for 1st 30min, $0.65 for subsequent 15min (9pm-5.59am) $0.54 for 1st hr, $0.16 for subsequent 15min","112 East Coast Road, S(428802)","1.3052204,103.905072"
15 Changi Business Park,$0.60/30min from 7am to 7pm,"$0.60/30min from 7pm to 7am the following day, capped at $4.00",Charges same as weekdays,Charges same as weekdays,"15 Changi Business Park Central 1, S(486057)","1.3371942,103.9641636"
1557 Keppel Road,"$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 6pm",$2.14/entry from 7pm to 7am the following day,$2.14/entry from 7am to 7am the following day,$2.14/entry from 7am to 7am the following day,"1557 Keppel Road, S(089066)","1.2728774,103.8406466"
171 Kallang Way,$0.50/30min from 8am to 10pm daily,$0.50/30min from 8am to 10pm daily,Charges same as weekdays,Charges same as weekdays,"171 Kallang Way, S(349250)","1.3245786,103.8740296"
18 New Industrial Road,"$1.28 for 1st hr, $0.64 for next subsequent 30min from 7am to 6pm",$2.00/entry from 6pm to 7am the following day,Charges same as weekdays,$2.00/entry from 7am to 7am the following day,"18 New Industrial Road, S(536205)","1.3432446,103.8862615"
18 Tai Seng,$1.00/30min from 6am to 5pm,"Free entry from 5pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00","Free entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00","Free entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00","18 Tai Seng Street, S(539775)","1.3363858,103.8888439"
20 Collyer Quay,$2.50/30min from 6am to 5pm,$3.20/entry from 5pm to 11pm,Charges same as weekdays,Closed,"20 Collyer Quay, S(049319)","1.2845452,103.8526975"
